index,value
1964 Sep,84.6
1964 Oct,83.9
1964 Nov,84.5
1964 Dec,83.4
1965 Jan,84.8
1965 Feb,87
1965 Mar,88.8
1965 Apr,88.8
1965 May,89.5
1965 Jun,91.7
1965 Jul,86.7
1965 Aug,89.4
1965 Sep,92.4
1965 Oct,94.5
1965 Nov,93
1965 Dec,91.4
1966 Jan,92.7
1966 Feb,95.3
1966 Mar,97.3
1966 Apr,97.1
1966 May,97.8
1966 Jun,100
1966 Jul,93.8
1966 Aug,97.2
1966 Sep,101.7
1966 Oct,102.8
1966 Nov,100
1966 Dec,97.5
1967 Jan,98.1
1967 Feb,99.1
1967 Mar,99
1967 Apr,99.6
1967 May,98.7
1967 Jun,100.9
1967 Jul,94.4
1967 Aug,99.6
1967 Sep,102.7
1967 Oct,103.4
1967 Nov,103.1
1967 Dec,101.4
1968 Jan,101.8
1968 Feb,104.5
1968 Mar,105.6
1968 Apr,104.9
1968 May,106.5
1968 Jun,109.3
1968 Jul,102.5
1968 Aug,105.5
1968 Sep,109.6
1968 Oct,110.1
1968 Nov,109.6
1968 Dec,106.2
1969 Jan,107.3
1969 Feb,110.4
1969 Mar,111.6
1969 Apr,110.6
1969 May,110.5
1969 Jun,114
1969 Jul,107.3
1969 Aug,111.6
1969 Sep,115.1
1969 Oct,115.1
1969 Nov,112
1969 Dec,108.3
1970 Jan,106.5
1970 Feb,109.1
1970 Mar,109.4
1970 Apr,108.8
1970 May,108.6
1970 Jun,110.8
1970 Jul,104.5
1970 Aug,108
1970 Sep,110.4
1970 Oct,108
1970 Nov,105.1
1970 Dec,104.1
1971 Jan,105.5
1971 Feb,108.3
1971 Mar,108.6
1971 Apr,108.8
1971 May,109.5
1971 Jun,112.5
1971 Jul,105.4
1971 Aug,108.8
1971 Sep,113.5
1971 Oct,113.9
1971 Nov,111.6
1971 Dec,108.5
1972 Jan,111.5
1972 Feb,115.6
1972 Mar,116.8
1972 Apr,118.7
1972 May,118.4
1972 Jun,121.8
1972 Jul,114.2
1972 Aug,120.5
1972 Sep,125.5
1972 Oct,126.8
1972 Nov,125.2
1972 Dec,121.8
1973 Jan,122.7
1973 Feb,128.1
1973 Mar,128.8
1973 Apr,128.6
1973 May,129.6
1973 Jun,133
1973 Jul,126.4
1973 Aug,130.3
1973 Sep,134.8
1973 Oct,135.3
1973 Nov,132.9
1973 Dec,126.7
1974 Jan,126.3
1974 Feb,129.8
1974 Mar,130.8
1974 Apr,129.9
1974 May,131.7
1974 Jun,135.3
1974 Jul,127.3
1974 Aug,131.4
1974 Sep,135.5
1974 Oct,133.1
1974 Nov,125.5
1974 Dec,114.9
1975 Jan,111.8
1975 Feb,113
1975 Mar,111.8
1975 Apr,113
1975 May,113.8
1975 Jun,119.2
1975 Jul,114.5
1975 Aug,121.4
1975 Sep,125.9
1975 Oct,125.4
1975 Nov,123.8
1975 Dec,119.8
1976 Jan,122.2
1976 Feb,128.3
1976 Mar,128.6
1976 Apr,128.7
1976 May,130
1976 Jun,133.2
1976 Jul,126.5
1976 Aug,131.7
1976 Sep,134.3
1976 Oct,133.8
1976 Nov,132.1
1976 Dec,128.3
1977 Jan,128.8
1977 Feb,133.6
1977 Mar,135.7
1977 Apr,136.2
1977 May,137.2
1977 Jun,141.5
1977 Jul,134.1
1977 Aug,138.2
1977 Sep,142.4
1977 Oct,142.7
1977 Nov,139.5
1977 Dec,134.9
1978 Jan,134.8
1978 Feb,139.6
1978 Mar,141.4
1978 Apr,144.2
1978 May,144.2
1978 Jun,148.8
1978 Jul,141.9
1978 Aug,146.9
1978 Sep,152
1978 Oct,152.6
1978 Nov,149.7
1978 Dec,145
