unemp,gnp,consum,govinv,prinv
5.1,1993.7,1188,465.5,330.8
4.9,2036.9,1208.2,469.2,362.1
4.8,2066.4,1221.7,472.7,364.3
4.4,2099.3,1242.3,470.3,369.9
4.2,2147.6,1273.2,471.1,371.8
4,2190.1,1287.6,469.6,396.9
3.8,2195.8,1293.1,480.8,390.9
3.8,2218.3,1305.5,491.5,389.1
3.7,2229.2,1309.5,505.8,385.2
3.9,2241.8,1319.4,513.5,368.7
3.8,2255.2,1336.5,523.4,361.7
3.8,2287.7,1343.3,541.9,378.8
4,2300.6,1351.5,551.7,388.4
3.7,2327.3,1378.1,569.2,387.7
3.5,2366.9,1396.7,573.1,397.2
3.7,2385.3,1421.5,579.1,392
3.4,2383,1427.1,583.2,390.2
3.4,2416.5,1442.9,590.1,412
3.4,2419.8,1451.7,600.5,409.1
3.5,2433.2,1459.9,601,419.5
3.7,2423.5,1472,599,400.5
3.9,2408.6,1481.5,593.2,379.9
4.6,2406.5,1488.1,596,376.4
5,2435.8,1501.3,590.4,390.6
5.5,2413.8,1497.2,585.3,379.3
5.9,2478.6,1520.9,578.6,415.5
5.9,2478.4,1533,569.7,423.1
6,2491.1,1541,571.6,425.9
5.8,2491,1560.1,570.6,412.8
5.8,2545.6,1581.8,567.6,439.5
5.7,2595.1,1607.9,564,462.3
5.6,2622.1,1629.9,566.9,473.8
5.6,2671.3,1667.8,567.4,486
4.9,2734,1689.9,576.4,515.7
5,2741,1687.2,574.1,521.7
4.8,2738.3,1694.5,566.1,511.4
4.6,2762.8,1686.8,566.1,534.2
5.1,2747.4,1667.5,572.5,501.1
5.1,2755.2,1677.2,568.6,496.5
5.5,2719.3,1686.7,555.8,465.5
6,2695.4,1664.7,564.2,462.2
8.1,2642.7,1677.1,567.8,370.6
8.8,2669.6,1706,580.2,358.1
8.6,2714.9,1723.9,572.6,394.4
8.4,2752.7,1740.4,572.1,410.1
7.9,2804.4,1777.5,577.5,444.7
7.7,2816.9,1790.4,577.2,454.9
7.8,2828.6,1809.9,582.1,452.8
7.7,2856.8,1837.8,586.8,461.8
7.5,2896,1863.7,582.4,492
7.2,2942.7,1869,580.3,519
6.9,3001.8,1888,579.4,546.9
6.8,2994.1,1914.2,579,527.2
6.4,3020.5,1923,580.2,544
6.1,3115.9,1960.8,587.5,584.6
6.2,3142.6,1970.3,594.9,583.3
5.8,3181.6,1989.7,593.6,595.8
5.9,3181.7,1997.5,592.5,582.2
5.8,3178.7,1994.1,601.3,590.1
5.7,3207.4,2007.9,611.5,575.7
6,3201.3,2018,611.1,552.9
6.3,3233.4,2015.4,606.7,556.7
6.9,3157,1974.1,606.9,499.2
7.8,3159.1,1996.3,611.3,467.7
7.5,3199.2,2015.6,611.7,513.5
7.5,3261.1,2022.9,617.8,552.3
7.2,3250.2,2022.4,625.1,551.2
7.2,3264.6,2031.5,621.1,560.7
7.9,3219,2020,617.9,517.9
8.6,3170.4,2031.2,626.3,464.2
9.3,3179.9,2041,626.4,467.5
9.8,3154.5,2051.8,630.2,448.6
10.4,3159.3,2078.7,635.9,408.8
10.4,3186.6,2094.2,634.6,427.1
10.2,3258.3,2135.1,629.7,486.9
9.4,3306.4,2163,642.5,524.8
8.8,3365.1,2191.9,660.1,577.2
8.1,3451.7,2212.1,649.2,655.2
7.7,3498,2246.7,650.9,658.4
7.4,3520.6,2257.3,653.6,664.2
7.3,3535.2,2281.1,642.2,655.7
7.4,3577.5,2319.1,653,634.3
7.3,3599.2,2337.4,680.2,647.5
7.3,3635.8,2375.9,684.5,618.1
7.1,3662.4,2386.9,693.2,648
6.7,3721.1,2410.9,705.5,676.1
7.1,3704.6,2432.4,716.7,642.3
7,3712.4,2464.4,749.8,625.1
6.9,3733.6,2477.8,752.7,615.2
6.7,3783,2478.3,744.1,646.3
6.3,3823.5,2507.7,761.2,656.7
6,3872.8,2536.5,765.2,671.7
6,3935.6,2532.3,776,721.1
5.8,3974.8,2570.8,776.6,707
5.4,4010.7,2586.8,774.9,713.5
